Leverage_Ratio,Trial,Method,Param_Error
0.0,17,OLS,0.02348874324319564
0.0,17,Huber,0.028700434919390356
0.0,17,Cauchy,0.02348874324319564
0.0,17,Barron,0.17887534349272088
0.0,18,Lf_dual,0.037302188158956084
0.0,18,OLS,0.021891840168098076
0.0,18,Huber,0.021891840168098076
0.0,18,Cauchy,0.021891840168098076
0.0,18,Barron,0.4047487259876476
0.0,19,Lf_dual,0.02468365266315468
0.0,19,OLS,0.019751305254627493
0.0,19,Huber,0.02782926769504384
0.0,19,Cauchy,0.019751305254627493
0.0,19,Barron,0.26956309004385504
0.05,0,Lf_dual,0.04471394207227544
0.05,0,OLS,1.9153799088396193
0.05,0,Huber,1.9153799088396193
0.05,0,Cauchy,1.9153799088396193
0.05,0,Barron,1.5945296779384377
0.05,1,Lf_dual,0.049905837905759955
0.05,1,OLS,1.4766566393434934
0.05,1,Huber,0.3235423125928292
0.05,1,Cauchy,1.4766566393434934
0.05,1,Barron,0.7430010866532836
0.05,2,Lf_dual,0.03489873791923468
0.05,2,OLS,0.8683289632207661
0.05,2,Huber,0.5769313101086844
0.05,2,Cauchy,0.8683289632207661
0.05,2,Barron,1.0870135338855318
0.05,3,Lf_dual,0.027462560621540028
0.05,3,OLS,1.3585255170518515
0.05,3,Huber,1.3585255170518515
0.05,3,Cauchy,1.3585255170518515
0.05,3,Barron,0.645384089663211
0.05,4,Lf_dual,0.02403091169097979
0.05,4,OLS,1.3335690821252104
0.05,4,Huber,0.02581726140564385
0.05,4,Cauchy,1.3335690821252104
0.05,4,Barron,0.8486759863744239
0.05,5,Lf_dual,0.028002676839406413
0.05,5,OLS,1.457458035477612
0.05,5,Huber,0.6369228372456804
0.05,5,Cauchy,1.457458035477612
0.05,5,Barron,1.756926669435737
0.05,6,Lf_dual,0.028729232720021345
0.05,6,OLS,0.8064435259102772
0.05,6,Huber,0.27358725484132207
0.05,6,Cauchy,0.8064435259102772
0.05,6,Barron,1.1576518683553654
0.05,7,Lf_dual,0.03823601356451161
0.05,7,OLS,1.018537251269755
0.05,7,Huber,1.018537251269755
0.05,7,Cauchy,1.018537251269755
0.05,7,Barron,1.193932155342348
0.05,8,Lf_dual,0.05228340543814723
0.05,8,OLS,1.5943277598631946
0.05,8,Huber,0.4689340936261338
0.05,8,Cauchy,1.5943277598631946
0.05,8,Barron,0.6330757257150336
0.05,9,Lf_dual,0.03908971222851454
0.05,9,OLS,1.6337050502054618
0.05,9,Huber,1.6337050502054618
0.05,9,Cauchy,1.6337050502054618
0.05,9,Barron,1.4155717170103221
0.05,10,Lf_dual,0.017629804212065267
0.05,10,OLS,2.4055956670655227
0.05,10,Huber,0.2657930980946987
0.05,10,Cauchy,2.4055956670655227
0.05,10,Barron,0.9324320754744928
0.05,11,Lf_dual,0.02676281754032799
