Dataset,Outlier_Frac,Trial,re_new,re_pub
Misra1a,0.1,15,0.23509780805610417,0.2350978080561124
Misra1a,0.1,16,0.36681522671390077,0.366815226713901
Misra1a,0.1,17,3.011199600967597,3.0111996009692423
Misra1a,0.1,18,0.25687601201702265,0.2568760120170226
Misra1a,0.1,19,0.552105290286083,0.5521052902860828
Misra1a,0.2,0,2.251117771859036,2.251117771858885
Misra1a,0.2,1,3866.7644589967,3866.7644589967
Misra1a,0.2,2,0.15834167207208566,0.1583416720720817
Misra1a,0.2,3,0.5241353083604818,0.5241353083604819
Misra1a,0.2,4,0.33075494463103283,0.3307549446310348
Misra1a,0.2,5,0.2963812882454421,0.2963812882454427
Misra1a,0.2,6,0.41361592367822153,0.4136159236782382
Misra1a,0.2,7,0.3227122538527343,0.3227122538527409
Misra1a,0.2,8,0.008116895328133237,0.0081168953281333
Misra1a,0.2,9,4223.872371664815,4223.872371664815
Misra1a,0.2,10,0.6051387969251848,0.6051387969251849
Misra1a,0.2,11,0.5875316426822055,0.5875316426822054
Misra1a,0.2,12,9674.459944767294,9674.459944767294
Misra1a,0.2,13,0.16388576768524918,0.1638857676852482
Misra1a,0.2,14,137.50183590912562,137.50183590912945
Misra1a,0.2,15,43310.35026505598,43176.42662375507
Misra1a,0.2,16,0.4589004041202261,0.4589004041202266
Misra1a,0.2,17,8235.238547603316,8235.238547603316
Misra1a,0.2,18,19268.310170616824,19268.310170616827
Misra1a,0.2,19,21392.059242164585,21392.05924216458
Misra1a,0.3,0,0.18683018900162557,0.1868301890016303
Misra1a,0.3,1,0.6874007460519223,0.6874007460519229
Misra1a,0.3,2,0.23448639261870222,0.2344863926187032
Misra1a,0.3,3,0.4882112761711384,0.4882112761711376
Misra1a,0.3,4,0.6339829380647133,0.6339829380647131
Misra1a,0.3,5,0.41496310220520943,0.4149631022052081
Misra1a,0.3,6,0.5305055517946766,0.5305055517946758
Misra1a,0.3,7,0.43501358621345604,0.4350135862134567
Misra1a,0.3,8,0.33083270546560184,0.3308327054656038
Misra1a,0.3,9,1122.4414831785764,1122.4414831785764
Misra1a,0.3,10,3331.5276406138923,3331.5276406138923
Misra1a,0.3,11,0.4677963295007237,0.4677963295007232
Misra1a,0.3,12,1050.6691477927516,1050.669147792789
Misra1a,0.3,13,18392.705894728526,18359.224984403303
Misra1a,0.3,14,0.6492366537115579,0.649236653711558
Misra1a,0.3,15,12.017359830489628,12.017359830563436
Misra1a,0.3,16,1820.3197158773946,1820.3197158773492
Misra1a,0.3,17,0.6649789808523009,0.6649789808523011
Misra1a,0.3,18,17314.319777202476,17213.87704622679
Misra1a,0.3,19,19889.60339131996,19889.60339131996
Chwirut2,0.0,0,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,1,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,2,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,3,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,4,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,5,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,6,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,7,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,8,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,9,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,10,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,11,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,12,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,13,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,14,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,15,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,16,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,17,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,18,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.0,19,1.269954501761072e-06,1.2699545045878528e-06
Chwirut2,0.1,0,1.0090871566147825,1.0090871566147828
Chwirut2,0.1,1,0.4099187395273724,0.4099187395273724
Chwirut2,0.1,2,0.02508309298424561,0.0250830929842449
Chwirut2,0.1,3,0.550031436985129,0.5500314369851307
Chwirut2,0.1,4,1.8611928747275477,1.861192874727543
Chwirut2,0.1,5,0.05512010518445972,0.0551201051844597
Chwirut2,0.1,6,0.7477493291616418,0.7477493291616393
Chwirut2,0.1,7,0.556785519210936,0.5567855192109432
Chwirut2,0.1,8,0.441304432000783,0.4413044320007791
Chwirut2,0.1,9,0.7583726149890088,0.7583726149890021
Chwirut2,0.1,10,0.16553362777625616,0.165533627776254
Chwirut2,0.1,11,0.98660649773124,0.9866064977312397
Chwirut2,0.1,12,0.43179065315125637,0.4317906531512557
Chwirut2,0.1,13,0.7708411863160928,0.7708411863160929
Chwirut2,0.1,14,0.5041599337433337,0.5041599337433356
Chwirut2,0.1,15,0.5459676247312651,0.5459676247312635
Chwirut2,0.1,16,0.7260732029849264,0.7260732029849264
Chwirut2,0.1,17,0.17901865449251167,0.1790186544925132
Chwirut2,0.1,18,1.1738833831580373,1.173883383158037
Chwirut2,0.1,19,0.8478428706782798,0.8478428706782785
Chwirut2,0.2,0,1.2921922992525159,1.292192299252515
Chwirut2,0.2,1,0.4812129017997253,0.4812129017997179
Chwirut2,0.2,2,0.4400827025780198,0.4400827025780171
Chwirut2,0.2,3,0.10312442994856273,0.1031244299485629
Chwirut2,0.2,4,1.471321954906004,1.4713219549060048
Chwirut2,0.2,5,0.4616983117832409,0.461698311783243
Chwirut2,0.2,6,0.4722208048362532,0.4722208048362534
Chwirut2,0.2,7,1.0917012235796772,1.09170122357968
Chwirut2,0.2,8,0.4436127007766483,0.4436127007766521
Chwirut2,0.2,9,0.736287635033381,0.736287635033381
Chwirut2,0.2,10,0.9355648517707184,0.935564851770718
Chwirut2,0.2,11,0.412787766181541,0.4127877661815426
Chwirut2,0.2,12,1.6697647615461573,1.6697647615461604
Chwirut2,0.2,13,0.29771048953712753,0.2977104895371278
Chwirut2,0.2,14,1.801952050980741,1.801952050980742
Chwirut2,0.2,15,6.85205683609063,6.85205683609063
Chwirut2,0.2,16,1.3070335947156038,1.307033594715601
Chwirut2,0.2,17,2.1402724862967335,2.140272486296733
Chwirut2,0.2,18,1.9270849219056925,1.927084921905688
Chwirut2,0.2,19,0.08961933923628435,0.0896193392362814
Chwirut2,0.3,0,1.364347078873186,1.3643470788731862
Chwirut2,0.3,1,0.2954434973130738,0.2954434973130831
Chwirut2,0.3,2,0.745668949067458,0.7456689490674604
Chwirut2,0.3,3,0.0829947655071256,0.0829947655071226
Chwirut2,0.3,4,2.078630942252597,2.078630942252602
Chwirut2,0.3,5,0.5348189031055516,0.53481890310555
Chwirut2,0.3,6,0.6265954602603584,0.6265954602603544
Chwirut2,0.3,7,0.2951606337829523,0.2951606337829568
Chwirut2,0.3,8,2.0302370673514964,2.0302370673514964
Chwirut2,0.3,9,3.281330027944014,3.281330027944016
Chwirut2,0.3,10,1.6968708777531907,1.696870877753181
Chwirut2,0.3,11,1.732886819722456,1.732886819722456
Chwirut2,0.3,12,0.5243000144228348,0.524300014422835
Chwirut2,0.3,13,1.61679971364258,1.61679971364258
Chwirut2,0.3,14,1.2304916051620218,1.2304916051620214
Chwirut2,0.3,15,6.270124972747398,6.2701249727572685
Chwirut2,0.3,16,2.120609641056196,2.120609641056196
Chwirut2,0.3,17,0.647471692304108,0.6474716923041063
Chwirut2,0.3,18,0.2824744262578318,0.2824744262578275
Chwirut2,0.3,19,1.5087434976768346,1.5087434976768357
Chwirut1,0.0,0,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,1,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,2,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,3,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,4,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,5,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,6,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,7,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,8,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,9,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,10,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,11,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,12,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,13,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,14,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,15,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,16,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,17,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,18,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.0,19,1.4088791024549534e-06,1.4088791017259863e-06
Chwirut1,0.1,0,0.21865172568049668,0.2186517256804975
Chwirut1,0.1,1,0.7779856461066336,0.7779856461066309
Chwirut1,0.1,2,0.7784696013676915,0.7784696013676958
Chwirut1,0.1,3,0.01255173787859643,0.0125517378785967
Chwirut1,0.1,4,0.2737591924139933,0.2737591924139934
Chwirut1,0.1,5,0.24734857207341512,0.2473485720734209
Chwirut1,0.1,6,0.19794810292853085,0.1979481029285318
Chwirut1,0.1,7,0.25370278122873585,0.2537027812287359
Chwirut1,0.1,8,0.6160679418294431,0.6160679418294481
Chwirut1,0.1,9,0.716754585917066,0.7167545859170658
Chwirut1,0.1,10,0.11415638184470975,0.1141563818447086
Chwirut1,0.1,11,0.9158775151597258,0.9158775151597238
Chwirut1,0.1,12,0.7322276980741024,0.7322276980741032
Chwirut1,0.1,13,0.11179912376912397,0.1117991237691245
Chwirut1,0.1,14,0.12574132631793694,0.125741326317937
